ESW-441 | None | useAgentService should return agent service instance | PASSED
ESW-441 | None | useAgents should return list of agents up and running | PASSED
ESW-441 | None | header bar renders with logout button & logo when user is logged in | PASSED
ESW-441 | None | header bar renders with login button & logo when user is logged out | PASSED
ESW-441 | None | header bar open logout modal on click of username button when user is logged in | PASSED
ESW-441 | None | header bar check login function of auth context is called | PASSED
ESW-441 | None | SelectionModal should render modal with title and given list of data | PASSED
ESW-441 | None | SelectionModal should call onChange method when menu item is selected | PASSED
ESW-441 | None | SelectionModal should handle onOk and onCancel event | PASSED
ESW-441 | None | SelectionModal should not call onOk if any item is not selected | PASSED
ESW-441 | None | SelectionModal should not show menu if visible equals false | PASSED
ESW-441 | None | SelectionModal should show empty if data is not present | PASSED
ESW-441 | None | SMCard should show Spawn button if Sequence Manager is not spawned | PASSED
ESW-441 | None | ShutdownSMButton should shutdown the sequence manager | PASSED
ESW-441 | None | SMCard should show Shutdown button if Sequence Manager is already spawned | PASSED
ESW-441 | None | App page should render app with layout when user is logged in | PASSED
ESW-441 | None | App page should render app without layout when user is not logged in | PASSED
ESW-441 | None | SpawnSMButton should spawn the sequence manager | PASSED
ESW-441 | None | Full app navigation Infrastructure route | PASSED
ESW-441 | None | Full app navigation Observations route | PASSED
ESW-441 | None | Full app navigation Resources | PASSED
